danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.636,0.748,-7.035,0.0359,0.41,0.0,0.125,0.397,95.009,6JqMNHGYlouggzHJje6JJW,224693
0.5,0.915,-7.03,0.0554,2.21e-05,0.836,0.787,0.109,120.023,7dhGUfiVDsNML5lqOyVnKG,208379
0.645,0.413,-9.608,0.0295,0.337,0.000655,0.129,0.739,123.165,6tUster4YGoNj6U5yZ5NXz,191147
0.957,0.654,-5.58,0.358,0.0144,0.0,0.112,0.499,127.93,6nXm6hrmKCgnoM8WDIzkhv,211645
0.691,0.575,-7.599,0.0412,0.444,0.0,0.339,0.641,131.944,217rrEULoEhwza1PIJKT71,213800
0.257,0.872,-5.683,0.103,0.138,0.000702,0.105,0.112,117.078,71frNHeQDPsS41mkYQCiex,443399
0.522,0.375,-9.385,0.0396,0.568,0.0,0.314,0.107,87.851,1fSE3IFervIMY0hDeY5fyR,342957
0.807,0.763,-4.724,0.245,0.334,0.0,0.0999,0.445,91.994,5FQPhxGP8S7hr1cYDAGqR1,216920
0.624,0.915,-3.605,0.217,0.154,0.0,0.343,0.839,165.145,2rkWu8zzA9ZtpU1taBgJ5w,195587
0.629,0.439,-7.106,0.0252,0.154,0.0678,0.0742,0.704,106.994,6QfXrQMMbvWpRdBjQicHNg,242787
0.587,0.642,-7.644,0.0335,0.593,0.925,0.121,0.962,148.856,7JaaISh1lPwkepCQtCWGKR,155068
0.782,0.845,-3.731,0.0721,0.501,0.0,0.713,0.771,121.95,7fzgTaVhUxmEzjtcd9NdWo,213006
0.941,0.751,-2.799,0.0973,0.154,2.64e-05,0.0677,0.965,130.047,4NpztrMtGixd9WyPFuMONp,126380
0.242,0.0456,-24.398,0.0383,0.985,0.82,0.118,0.33,90.379,7pwd4GXi4szGLhNPFSRfSW,131040
0.603,0.509,-6.824,0.0311,0.374,2.91e-05,0.0627,0.572,136.592,13yxz52EwElyue9PLrqcZY,165330
